servers num,avg_time,avg_sstate_checking,avg_without_checking
2,263.2,34,229.2
3,286.6,45.8,240.8
4,306.2,58.2,248
5,362.2,71.6,290.6
6,331,83.8,247.2
7,340.2,97,243.2
8,356.2,111,245.2
9,368.4,124,244.4
10,383,135.4,247.6
11,397,151,246
12,410,164,246
13,432.8,178.8,254
14,448.6,193.4,255.2
15,464.8,208.8,256
16,498.6,221.2,277.4
17,494.4,235.2,259.2
18,513.2,248.8,264.4
19,531.8,259,272.8
20,545.2,275.4,269.8
21,562.4,285.6,276.8
22,586.8,305.2,281.6
23,594,319.2,274.8
24,603.4,329.2,274.2
25,627.8,334.2,293.6
26,830.4,359.2,471.2
27,650.8,373.2,277.6
28,661.8,377.6,284.2
29,1027.4,396.6,630.8
30,703.8,410.2,293.6
31,748,422.4,325.6
32,742.4,435.8,306.6
33,767.4,457.8,309.6
34,786.2,461.8,324.4
35,801.2,474.6,326.6
36,813.8,486.8,327
37,832.8,498.8,334
38,848,515,333
39,866.2,533.8,332.4
40,889.4,541.2,348.2
41,895.4,549.6,345.8
42,912.4,561.8,350.6
43,932.8,579.2,353.6
44,954.8,591.2,363.6
45,974.4,607,367.4
46,972.6,604.2,368.4
47,990.6,617.6,373
48,1013.4,630.4,383
49,1045.4,642.4,403
50,1058,659.2,398.8
51,1082.4,675,407.4
52,1113.8,689.4,424.4
53,1130.6,697.4,433.2
